minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
0,5.15000,5.05000,0.08400,0.00000,0.00000,18.01090,2
1,5.17281,5.05040,0.08643,0.00000,0.00000,17.95658,2
2,5.19501,5.05089,0.09893,0.00000,0.00000,18.30496,2
3,5.21674,5.05147,0.11147,0.00000,0.00000,17.31970,2
4,5.23484,5.05213,0.12225,0.00000,0.00000,17.28659,2
5,5.25177,5.05286,0.13287,0.00000,0.00000,18.17588,2
6,5.26975,5.05365,0.14435,0.00000,0.00000,17.81122,2
7,5.28571,5.05452,0.15482,0.00000,0.00000,17.67896,2
8,5.30032,5.05544,0.16487,0.00000,0.00000,17.56326,2
9,5.31367,5.05642,0.17448,0.00000,0.00000,17.87147,2
10,5.32682,5.05745,0.18422,0.00000,0.00000,18.03518,2
11,5.33941,5.05853,0.19382,0.00000,0.00000,17.24584,2
12,5.34920,5.05965,0.20202,0.00000,0.00000,17.16320,2
13,5.35802,5.06081,0.21002,0.00000,0.00000,17.14570,2
14,5.36605,5.06200,0.21775,0.00000,0.00000,18.16877,2
15,5.37581,5.06322,0.22660,0.00000,0.00000,17.54139,2
16,5.38325,5.06447,0.23412,0.00000,0.00000,17.37612,2
17,5.38961,5.06574,0.24130,0.00000,0.00000,17.05380,2
18,5.39456,5.06704,0.24785,0.00000,0.00000,17.39374,2
19,5.39974,5.06835,0.25470,0.00000,0.00000,17.65976,2
20,5.40495,5.06967,0.26160,0.00000,0.00000,17.14508,2
21,5.40833,5.07101,0.26753,0.00000,0.00000,18.24177,2
22,5.41382,5.07236,0.27482,0.00000,0.00000,17.30857,2
23,5.41644,5.07373,0.28040,0.00000,0.00000,17.47301,2
24,5.41899,5.07510,0.28620,0.00000,0.00000,17.32324,2
25,5.42070,5.07647,0.29156,0.00000,0.00000,17.94655,2
26,5.42346,5.07785,0.29760,0.00000,0.00000,17.98035,2
27,5.42579,5.07923,0.30334,0.00000,0.00000,17.57351,2
28,5.42668,5.08062,0.30834,0.00000,0.00000,17.56063,2
29,5.42714,5.08200,0.31322,0.00000,0.00000,17.31022,2
30,5.42662,5.08339,0.31759,0.00000,0.00000,17.16320,2
31,5.42543,5.08476,0.32166,0.00000,0.00000,16.78965,2
32,5.42305,5.08612,0.32510,0.00000,0.00000,17.45676,2
33,5.42203,5.08747,0.32937,0.00000,0.00000,17.68513,2
34,5.42124,5.08881,0.33366,0.00000,0.00000,17.65740,2
35,5.42007,5.09014,0.33770,0.00000,0.00000,17.72507,2
36,5.41877,5.09146,0.34168,0.00000,0.00000,17.48523,2
37,5.41661,5.09277,0.34518,0.00000,0.00000,17.73468,2
38,5.41480,5.09406,0.34893,0.00000,0.00000,17.68508,2
39,5.41261,5.09534,0.35241,0.00000,0.00000,17.25189,2
40,5.40916,5.09661,0.35519,0.00000,0.00000,17.09470,2
41,5.40517,5.09786,0.35773,0.00000,0.00000,17.21302,2
42,5.40133,5.09909,0.36035,0.00000,0.00000,17.71897,2
43,5.39854,5.10030,0.36352,0.00000,0.00000,17.30427,2
44,5.39457,5.10149,0.36590,0.00000,0.00000,17.80109,2
45,5.39165,5.10267,0.36892,0.00000,0.00000,17.63982,2
46,5.38816,5.10382,0.37151,0.00000,0.00000,18.09026,2
47,5.38559,5.10496,0.37462,0.00000,0.00000,17.66165,2
48,5.38180,5.10608,0.37694,0.00000,0.00000,17.54590,2
49,5.37761,5.10719,0.37910,0.00000,0.00000,16.73097,2
50,5.37137,5.10827,0.38010,0.00000,0.00000,17.82800,2
51,5.36776,5.10932,0.38266,0.00000,0.00000,18.02812,2
52,5.36448,5.11035,0.38516,0.00000,0.00000,17.36769,2
53,5.35949,5.11137,0.38663,0.00000,0.00000,17.12836,2
54,5.35388,5.11236,0.38785,0.00000,0.00000,17.54377,2
55,5.34925,5.11333,0.38959,0.00000,0.00000,17.69171,2
56,5.34491,5.11427,0.39137,0.00000,0.00000,17.21180,2
57,5.33935,5.11519,0.39240,0.00000,0.00000,17.53792,2
58,5.33456,5.11609,0.39390,0.00000,0.00000,17.60035,2
59,5.32988,5.11696,0.39534,0.00000,0.00000,17.59513,2
60,5.32514,5.11782,0.39669,0.00000,0.00000,18.24713,2
61,5.32192,5.11865,0.39884,0.00000,0.00000,16.86521,2
62,5.31529,5.11946,0.39892,0.00000,0.00000,17.15384,2
63,5.30943,5.12024,0.39964,0.00000,0.00000,18.20556,2
64,5.30611,5.12100,0.40166,0.00000,0.00000,17.46031,2
65,5.30090,5.12174,0.40237,0.00000,0.00000,17.41486,2
66,5.29561,5.12246,0.40313,0.00000,0.00000,17.41637,2
67,5.29033,5.12315,0.40386,0.00000,0.00000,17.37635,2
68,5.28498,5.12382,0.40448,0.00000,0.00000,18.09352,2
69,5.28137,5.12446,0.40602,0.00000,0.00000,17.33181,2
70,5.27587,5.12509,0.40632,0.00000,0.00000,17.57298,2
71,5.27101,5.12569,0.40707,0.00000,0.00000,17.31725,2
72,5.26555,5.12627,0.40738,0.00000,0.00000,17.34585,2
73,5.26020,5.12683,0.40775,0.00000,0.00000,17.47038,2
74,5.25521,5.12736,0.40824,0.00000,0.00000,17.30210,2
75,5.24984,5.12788,0.40844,0.00000,0.00000,17.47488,2
76,5.24495,5.12836,0.40888,0.00000,0.00000,17.68737,2
77,5.24059,5.12883,0.40953,0.00000,0.00000,17.14181,2
78,5.23495,5.12928,0.40936,0.00000,0.00000,17.61333,2
79,5.23053,5.12970,0.40992,0.00000,0.00000,18.25328,2
80,5.22764,5.13010,0.41120,0.00000,0.00000,18.01912,2
81,5.22414,5.13049,0.41197,0.00000,0.00000,17.54212,2
82,5.21950,5.13087,0.41211,0.00000,0.00000,17.59636,2
83,5.21503,5.13122,0.41240,0.00000,0.00000,17.63767,2
84,5.21071,5.13156,0.41270,0.00000,0.00000,17.69951,2
85,5.20657,5.13187,0.41305,0.00000,0.00000,17.15777,2
86,5.20117,5.13217,0.41263,0.00000,0.00000,16.76603,2
87,5.19494,5.13245,0.41178,0.00000,0.00000,17.34555,2
88,5.19025,5.13270,0.41180,0.00000,0.00000,17.29553,2
89,5.18550,5.13293,0.41161,0.00000,0.00000,17.59236,2
90,5.18154,5.13314,0.41181,0.00000,0.00000,17.03588,2
91,5.17630,5.13333,0.41119,0.00000,0.00000,17.49568,2
92,5.17227,5.13351,0.41129,0.00000,0.00000,17.58760,2
93,5.16850,5.13366,0.41140,0.00000,0.00000,17.03707,2
94,5.16347,5.13380,0.41074,0.00000,0.00000,17.52734,2
95,5.15973,5.13392,0.41084,0.00000,0.00000,17.10310,2
96,5.15501,5.13402,0.41026,0.00000,0.00000,17.26582,2
97,5.15080,5.13411,0.40998,0.00000,0.00000,17.71365,2
98,5.14773,5.13417,0.41026,0.00000,0.00000,17.18564,2
99,5.14343,5.13423,0.40972,0.00000,0.00000,17.22476,2
100,5.13931,5.13426,0.40934,0.00000,0.00000,18.09022,2
101,5.13735,5.13428,0.41010,0.00000,0.00000,18.07111,2
102,5.13530,5.13430,0.41062,0.00000,0.00000,17.14904,2
103,5.13105,5.13430,0.40989,0.00000,0.00000,17.58829,2
104,5.12795,5.13429,0.40994,0.00000,0.00000,17.66218,2
105,5.12507,5.13426,0.40998,0.00000,0.00000,16.71425,2
106,5.11996,5.13422,0.40872,0.00000,0.00000,17.46425,2
107,5.11681,5.13417,0.40869,0.00000,0.00000,18.01200,2
108,5.11501,5.13410,0.40921,0.00000,0.00000,17.26351,2
109,5.11140,5.13402,0.40861,0.00000,0.00000,17.85480,2
110,5.10930,5.13393,0.40894,0.00000,0.00000,17.66906,2
111,5.10676,5.13383,0.40889,0.00000,0.00000,17.82209,2
112,5.10462,5.13372,0.40907,0.00000,0.00000,17.00234,2
113,5.10053,5.13361,0.40810,0.00000,0.00000,17.82261,2
114,5.09854,5.13348,0.40842,0.00000,0.00000,17.71249,2
115,5.09628,5.13334,0.40839,0.00000,0.00000,17.23310,2
116,5.09290,5.13319,0.40775,0.00000,0.00000,17.35629,2
117,5.08992,5.13303,0.40737,0.00000,0.00000,17.58421,2
118,5.08755,5.13285,0.40727,0.00000,0.00000,17.48926,2
119,5.08499,5.13267,0.40699,0.00000,0.00000,17.79915,2
120,5.08322,5.13248,0.40713,0.00000,0.00000,17.45900,2
121,5.08065,5.13229,0.40675,0.00000,0.00000,18.23467,2
122,5.07999,5.13208,0.40748,0.00000,0.00000,17.61343,2
123,5.07780,5.13187,0.40718,0.00000,0.00000,16.97374,2
124,5.07414,5.13165,0.40616,0.00000,0.00000,16.97898,2
125,5.07061,5.13142,0.40530,0.00000,0.00000,17.67299,2
126,5.06886,5.13118,0.40537,0.00000,0.00000,17.53182,2
127,5.06678,5.13093,0.40511,0.00000,0.00000,17.91750,2
128,5.06566,5.13067,0.40538,0.00000,0.00000,17.61054,2
129,5.06381,5.13041,0.40516,0.00000,0.00000,17.66804,2
130,5.06213,5.13015,0.40507,0.00000,0.00000,18.21652,2
131,5.06178,5.12988,0.40569,0.00000,0.00000,17.08424,2
132,5.05869,5.12960,0.40467,0.00000,0.00000,17.85360,2
133,5.05756,5.12932,0.40492,0.00000,0.00000,17.72111,2
134,5.05609,5.12903,0.40483,0.00000,0.00000,17.83103,2
135,5.05492,5.12874,0.40490,0.00000,0.00000,17.47100,2
136,5.05289,5.12845,0.40446,0.00000,0.00000,18.12476,2
137,5.05248,5.12814,0.40498,0.00000,0.00000,17.85666,2
138,5.05139,5.12784,0.40498,0.00000,0.00000,17.30834,2
139,5.04900,5.12754,0.40430,0.00000,0.00000,17.89898,2
140,5.04811,5.12722,0.40452,0.00000,0.00000,18.12352,2
141,5.04774,5.12690,0.40492,0.00000,0.00000,18.30662,2
142,5.04777,5.12659,0.40549,0.00000,0.00000,17.37272,2
143,5.04554,5.12627,0.40476,0.00000,0.00000,17.83600,2
144,5.04449,5.12595,0.40485,0.00000,0.00000,17.80308,2
145,5.04336,5.12562,0.40480,0.00000,0.00000,17.97392,2
146,5.04266,5.12529,0.40497,0.00000,0.00000,17.56460,2
147,5.04097,5.12496,0.40455,0.00000,0.00000,17.96452,2
148,5.04029,5.12463,0.40476,0.00000,0.00000,17.72313,2
149,5.03903,5.12429,0.40454,0.00000,0.00000,16.97556,2
150,5.03601,5.12395,0.40339,0.00000,0.00000,18.07871,2
151,5.03575,5.12360,0.40388,0.00000,0.00000,17.73362,2
